classified_movement,recording_timestamp,x,y,pupil_left,pupil_right,duration,group_index,stimulus
fixation,234979.5150000006,0.5110057182610035,0.490186233073473,2.975160598754883,2.8774185180664062,133.0,786,15
fixation,235129.51799999925,0.5756157599389553,0.4281748309731483,3.092828750610352,2.99224853515625,133.0,787,15
fixation,235329.5249999985,0.421256916390525,0.7790223260720571,2.8052876790364585,2.702784220377604,150.0,788,15
fixation,235496.1930000037,0.4055734734450067,0.7726888145719256,2.6383372715541293,2.4888828822544644,234.0,789,15
fixation,235746.20000000295,0.4431207865476608,0.7640260756015778,2.518115234375,2.381752014160156,167.0,790,15
fixation,235929.53700000048,0.3747557575503985,0.7632122611006101,2.474074045817057,2.3011563618977866,200.0,791,15
fixation,236146.2080000043,0.4421211356918017,0.766759050389131,2.502696990966797,2.357406616210937,200.0,792,15
fixation,236379.5460000038,0.4818113378503106,0.7653699490157041,2.546407526189631,2.4378121115944604,183.0,793,15
fixation,236579.55000000447,0.5350516264637312,0.7633510182301203,2.6097132364908853,2.4910672505696616,200.0,794,15
fixation,236812.8900000006,0.5974943604734209,0.7685624725288815,2.632800632052952,2.529966566297743,300.0,795,15
fixation,237129.563000001,0.5747844576835632,0.7710654973983765,2.6456512451171874,2.531198120117188,91.0,796,15
fixation,237446.23600000143,0.5532256364822388,0.5997207661469778,2.6723785400390625,2.5355224609375,92.0,797,15
fixation,237579.576000005,0.4113679472357034,0.6825615763664246,2.6818517049153647,2.5607007344563804,408.0,798,15
fixation,238246.25200000405,0.600291696190834,0.3657842740416527,2.6179840087890627,2.5252685546875,159.0,799,15
fixation,238429.58900000155,0.593177260032722,0.3431042901107243,2.6980438232421875,2.581156049455916,466.0,800,15
fixation,238946.26900000125,0.5717090088874102,0.6595068704336882,2.5449256896972656,2.4774370193481445,267.0,801,15
fixation,239229.60900000483,0.5275634471327066,0.6827726364135742,2.595505714416504,2.507129669189453,266.0,802,15
fixation,239529.6140000001,0.4122494459152221,0.667372909684976,2.600236256917318,2.4793663024902344,200.0,803,15
fixation,239779.6200000048,0.5887161953882738,0.3676664002917029,2.696581753817472,2.562468095259233,183.0,804,15
fixation,239979.62400000545,0.5937732543264117,0.3404771621738161,2.7205592564174106,2.583880833217076,233.0,805,15
fixation,240246.2950000018,0.4420479658771963,0.4282873185241924,2.756276747759651,2.6442449233111214,284.0,806,15
fixation,240579.63599999997,0.5749688016043769,0.3797465744945738,2.913677639431424,2.76133049858941,150.0,807,15
fixation,240762.9730000049,0.4511522544968512,0.3833632786427774,2.951137419669859,2.833607827463457,517.0,808,15
